eventurl,imageurl,eventname,description,attendees,day,date,time,timezone,eventtype,attendees_range
https://www.meetup.com/tcjele/events/302546786/?recId=bfa48b57-6121-46d2-87da-316ef414ffce&recSource=ml-popular-events-nearby-offline&searchId=38ade142-6a29-4d6a-b615-a64e45d4198b&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/a/5/c/9/event_522642441.webp?w=640,Dinner @ Haidilao,"TCJELE (中文,日本語,English) Language Exchange",3.0,Saturday,2024-12-07,06:30 PM,EST,Inperson,1-10
https://www.meetup.com/toronto-guitar-meetup/events/302671201/?recId=495ebc7a-711b-4b4e-8edd-91e6c640ed56&recSource=ml-popular-events-nearby-offline&searchId=38ade142-6a29-4d6a-b615-a64e45d4198b&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/b/6/c/a/event_524806794.webp?w=640,Toronto Guitar School Student Showcase & Open House - Afternoon Show,Toronto Guitar Meetup,102.0,Saturday,2024-12-07,04:30 PM,EST,Inperson,100+
https://www.meetup.com/theactorsplace/events/304128819/?recId=09b8562c-c5e5-4379-b97a-93092aeae886&recSource=ml-popular-events-nearby-offline&searchId=38ade142-6a29-4d6a-b615-a64e45d4198b&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/a/3/9/0/event_506501872.webp?w=640,"The Actor's Place - Learn, Rehearse & Practice Acting",The Actors' Place (TAP),3.0,Saturday,2024-12-07,01:00 PM,EST,Online Event,1-10
https://www.meetup.com/the-literary-traveler-s-book-club/events/303144227/?recId=8cf85f28-e8b9-4347-b284-88340bf10f39&recSource=ml-popular-events-nearby-offline&searchId=38ade142-6a29-4d6a-b615-a64e45d4198b&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/e/9/3/4/event_441899700.webp?w=640,"Spain/Poland: ""The Pole"" by J.M. Coetzee",The Literary Traveler’s Book Club,7.0,Saturday,2024-12-07,03:00 PM,EST,Inperson,1-10
https://www.meetup.com/meetup-group-royotgxp/events/304345882/?recId=79d0df7b-93a0-4cab-9210-04a1904feadc&recSource=ml-popular-events-nearby&searchId=a0435745-3c24-44c6-b804-9752785aa970&eventOrigin=find_page$inPerson,https://secure.meetupstatic.com/photos/event/1/b/1/6/event_524466934.webp?w=640,"Witching Hour: A Night of Music, Manifestation & Magic",Azaria’s Alchemy,2.0,Saturday,2024-12-07,10:00 PM,EST,Inperson,1-10
https://www.meetup.com/onlinecinemaclubofli/events/304072753/?recId=5f24a80b-f973-4272-8485-8a938f9ccca4&recSource=ml-popular-events-nearby-online&searchId=38ade142-6a29-4d6a-b615-a64e45d4198b&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/8/0/0/7/event_524132775.webp?w=640,Sideways (2004) Film Discussion,The Online Cinema Club,27.0,Saturday,2024-12-07,11:00 AM,EST,Online Event,10-50
https://www.meetup.com/book-discussion-group-byob/events/304642879/?recId=bfa48b57-6121-46d2-87da-316ef414ffce&recSource=ml-popular-events-nearby-offline&searchId=38ade142-6a29-4d6a-b615-a64e45d4198b&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/2/9/4/8/event_518170568.webp?w=640,(Free Event) Celebrate our book club in 2024 (RSVP if attended 1 past event),GTA Book club with a twist,7.0,Saturday,2024-12-07,05:30 PM,EST,Online Event,1-10
https://www.meetup.com/torontogirlgroup/events/304680055/?recId=33990a2c-5b47-44d9-be20-eabeb8d76928&recSource=ml-popular-events-nearby-offline&searchId=38ade142-6a29-4d6a-b615-a64e45d4198b&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/d/b/d/4/event_524816276.webp?w=640,Tilt Arcade Bar - Girl's day out,Toronto Girl Group,8.0,Saturday,2024-12-07,04:00 PM,EST,Inperson,1-10
https://www.meetup.com/friendsthroughcomedy/events/304429699/?recId=f4e9e48d-4219-4266-87c1-147c126ecfac&recSource=ml-popular-events-nearby-offline&searchId=38ade142-6a29-4d6a-b615-a64e45d4198b&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/a/a/0/8/event_524563528.webp?w=640,"Holiday Group Pictionary Social Game Night, Holiday Party & Comedy  $100prizes",Friends Through Comedy,16.0,Saturday,2024-12-07,07:00 PM,EST,Online Event,10-50
https://www.meetup.com/letseatout/events/304358888/?recId=a052ab33-1e8e-4dc8-b174-5b73b4b2d4cb&recSource=ml-popular-events-nearby&searchId=a0435745-3c24-44c6-b804-9752785aa970&eventOrigin=find_page$inPerson,https://secure.meetupstatic.com/photos/event/7/c/0/8/event_524491752.webp?w=640,Holiday Party & Gift Exchange @ Mandarin!,Let's Eat Out - Leo,2.0,Saturday,2024-12-07,06:45 PM,EST,Inperson,1-10
